sample_id,day,channel,batch_id,operator,pressure_group,true_pressure_mmhg,true_flow_lmin,channel_pressure_bias,channel_flow_bias,drift_pressure,drift_flow,ext_pressure_mmhg,eol_pressure_mmhg,ext_flow_lmin,eol_flow_lmin,reference_decision,eol_decision,false_pass,false_fail,pressure_bias,flow_bias
S001,1,1,B01,Op_C,good,63.31,0.062,0.0,0.0,0.0,0.0,63.21,62.37,0.046,0.03,Pass,Pass,0,0,-0.84,-0.016
S002,1,1,B01,Op_A,failed,51.29,0.167,0.0,0.0,0.0,0.0,51.34,51.15,0.18,0.113,Fail,Fail,0,0,-0.19,-0.067
S003,1,1,B01,Op_C,borderline,53.91,0.152,0.0,0.0,0.0,0.0,54.04,53.0,0.171,0.187,Pass,Fail,0,1,-1.04,0.016
S004,1,1,B01,Op_C,good,59.3,0.119,0.0,0.0,0.0,0.0,59.93,58.38,0.121,0.158,Pass,Pass,0,0,-1.55,0.037
S005,1,1,B01,Op_A,good,61.11,0.059,0.0,0.0,0.0,0.0,61.08,61.91,0.064,0.054,Pass,Pass,0,0,0.83,-0.01
S006,1,1,B01,Op_A,good,58.63,0.13,0.0,0.0,0.0,0.0,58.34,58.42,0.135,0.11,Pass,Pass,0,0,0.08,-0.025
S007,1,1,B01,Op_C,good,60.78,0.061,0.0,0.0,0.0,0.0,60.34,60.52,0.03,0.05,Pass,Pass,0,0,0.18,0.02
S008,1,1,B01,Op_B,good,56.02,0.179,0.0,0.0,0.0,0.0,56.0,56.33,0.176,0.169,Pass,Pass,0,0,0.33,-0.007
S009,1,1,B01,Op_C,good,59.16,0.083,0.0,0.0,0.0,0.0,59.0,58.92,0.079,0.047,Pass,Pass,0,0,-0.08,-0.032
S010,1,1,B01,Op_C,good,60.44,0.106,0.0,0.0,0.0,0.0,61.14,61.81,0.127,0.097,Pass,Pass,0,0,0.67,-0.03
S011,1,1,B01,Op_C,borderline,55.77,0.162,0.0,0.0,0.0,0.0,56.39,55.59,0.167,0.167,Pass,Pass,0,0,-0.8,0.0
S012,1,1,B01,Op_C,borderline,53.68,0.14,0.0,0.0,0.0,0.0,53.32,53.92,0.136,0.171,Fail,Fail,0,0,0.6,0.035
S013,1,2,B01,Op_A,good,57.25,0.131,0.25,-0.01,0.0,0.0,57.0,58.13,0.13,0.121,Pass,Pass,0,0,1.13,-0.009
S014,1,2,B01,Op_C,good,59.11,0.15,0.25,-0.01,0.0,0.0,59.14,60.4,0.165,0.093,Pass,Pass,0,0,1.26,-0.072
S015,1,2,B01,Op_B,borderline,53.37,0.167,0.25,-0.01,0.0,0.0,53.86,53.14,0.164,0.168,Fail,Fail,0,0,-0.72,0.004
S016,1,2,B01,Op_A,borderline,54.35,0.153,0.25,-0.01,0.0,0.0,54.37,54.33,0.143,0.135,Pass,Pass,0,0,-0.04,-0.008
S017,1,2,B01,Op_B,failed,50.49,0.121,0.25,-0.01,0.0,0.0,50.26,51.57,0.117,0.152,Fail,Fail,0,0,1.31,0.035
S018,1,2,B01,Op_B,borderline,53.18,0.123,0.25,-0.01,0.0,0.0,53.16,53.96,0.137,0.156,Fail,Fail,0,0,0.8,0.019
S019,1,2,B01,Op_B,good,60.71,0.126,0.25,-0.01,0.0,0.0,60.49,61.66,0.133,0.16,Pass,Pass,0,0,1.17,0.027
S020,1,2,B01,Op_B,good,59.26,0.123,0.25,-0.01,0.0,0.0,59.47,58.62,0.124,0.096,Pass,Pass,0,0,-0.85,-0.028
S021,1,2,B01,Op_A,borderline,55.58,0.155,0.25,-0.01,0.0,0.0,55.33,56.84,0.158,0.205,Pass,Pass,0,0,1.51,0.047
S022,1,2,B01,Op_A,good,56.73,0.144,0.25,-0.01,0.0,0.0,56.55,56.49,0.136,0.145,Pass,Pass,0,0,-0.06,0.009
S023,1,2,B01,Op_B,borderline,53.48,0.188,0.25,-0.01,0.0,0.0,53.89,53.85,0.185,0.227,Fail,Fail,0,0,-0.04,0.042
S024,1,2,B01,Op_B,failed,51.28,0.158,0.25,-0.01,0.0,0.0,51.01,51.43,0.148,0.133,Fail,Fail,0,0,0.42,-0.015
S025,1,3,B01,Op_A,borderline,53.7,0.151,-0.35,0.015,0.0,0.0,53.19,52.78,0.147,0.157,Fail,Fail,0,0,-0.41,0.01
S026,1,3,B01,Op_A,good,59.25,0.075,-0.35,0.015,0.0,0.0,59.28,57.98,0.095,0.098,Pass,Pass,0,0,-1.3,0.003
S027,1,3,B01,Op_A,borderline,54.5,0.103,-0.35,0.015,0.0,0.0,54.37,53.02,0.087,0.123,Pass,Fail,0,1,-1.35,0.036
S028,1,3,B01,Op_C,good,59.74,0.053,-0.35,0.015,0.0,0.0,59.92,59.47,0.043,0.106,Pass,Pass,0,0,-0.45,0.063
S029,1,3,B01,Op_C,borderline,53.82,0.12,-0.35,0.015,0.0,0.0,53.93,52.48,0.101,0.128,Fail,Fail,0,0,-1.45,0.027
S030,1,3,B01,Op_C,failed,50.72,0.216,-0.35,0.015,0.0,0.0,50.71,49.63,0.194,0.266,Fail,Fail,0,0,-1.08,0.072
S031,1,3,B01,Op_B,good,58.33,0.066,-0.35,0.015,0.0,0.0,58.31,57.84,0.063,0.103,Pass,Pass,0,0,-0.47,0.04
S032,1,3,B01,Op_C,failed,51.51,0.155,-0.35,0.015,0.0,0.0,51.25,49.44,0.146,0.164,Fail,Fail,0,0,-1.81,0.018
S033,1,3,B01,Op_B,failed,50.33,0.134,-0.35,0.015,0.0,0.0,50.36,50.49,0.16,0.169,Fail,Fail,0,0,0.13,0.009
S034,1,3,B01,Op_B,good,59.73,0.084,-0.35,0.015,0.0,0.0,60.04,57.81,0.08,0.085,Pass,Pass,0,0,-2.23,0.005
S035,1,3,B01,Op_C,good,63.35,0.08,-0.35,0.015,0.0,0.0,63.01,62.95,0.099,0.166,Pass,Pass,0,0,-0.06,0.067
S036,1,3,B01,Op_B,good,57.84,0.095,-0.35,0.015,0.0,0.0,57.84,57.5,0.11,0.03,Pass,Pass,0,0,-0.34,-0.08
S037,1,4,B01,Op_C,good,61.58,0.121,0.1,0.02,0.0,0.0,61.94,62.03,0.118,0.161,Pass,Pass,0,0,0.09,0.043
S038,1,4,B01,Op_C,good,55.51,0.18,0.1,0.02,0.0,0.0,55.69,55.58,0.212,0.147,Pass,Pass,0,0,-0.11,-0.065
S039,1,4,B01,Op_A,borderline,52.42,0.089,0.1,0.02,0.0,0.0,52.88,53.83,0.093,0.102,Fail,Fail,0,0,0.95,0.009
S040,1,4,B01,Op_C,good,57.64,0.097,0.1,0.02,0.0,0.0,57.44,57.88,0.12,0.114,Pass,Pass,0,0,0.44,-0.006
S041,1,4,B01,Op_A,good,57.73,0.119,0.1,0.02,0.0,0.0,57.09,58.51,0.14,0.184,Pass,Pass,0,0,1.42,0.044
S042,1,4,B01,Op_C,failed,50.81,0.203,0.1,0.02,0.0,0.0,50.88,50.44,0.209,0.202,Fail,Fail,0,0,-0.44,-0.007
S043,1,4,B01,Op_C,good,59.93,0.087,0.1,0.02,0.0,0.0,60.06,60.11,0.098,0.146,Pass,Pass,0,0,0.05,0.048
S044,1,4,B01,Op_A,failed,50.12,0.174,0.1,0.02,0.0,0.0,50.6,51.23,0.183,0.159,Fail,Fail,0,0,0.63,-0.024
S045,1,4,B01,Op_A,good,59.28,0.071,0.1,0.02,0.0,0.0,59.7,59.23,0.054,0.131,Pass,Pass,0,0,-0.47,0.077
S046,1,4,B01,Op_C,good,60.29,0.052,0.1,0.02,0.0,0.0,60.48,60.51,0.053,0.058,Pass,Pass,0,0,0.03,0.005
S047,1,4,B01,Op_B,borderline,55.33,0.178,0.1,0.02,0.0,0.0,55.6,56.07,0.194,0.2,Pass,Pass,0,0,0.47,0.006
S048,1,4,B01,Op_A,borderline,53.17,0.097,0.1,0.02,0.0,0.0,53.1,52.79,0.12,0.107,Fail,Fail,0,0,-0.31,-0.013
S049,2,1,B02,Op_B,failed,49.96,0.245,0.0,0.0,0.0,0.0,49.53,48.55,0.234,0.283,Fail,Fail,0,0,-0.98,0.049
S050,2,1,B02,Op_B,borderline,54.43,0.164,0.0,0.0,0.0,0.0,54.47,54.6,0.172,0.197,Pass,Pass,0,0,0.13,0.025
S051,2,1,B02,Op_B,failed,51.23,0.186,0.0,0.0,0.0,0.0,51.57,51.87,0.188,0.199,Fail,Fail,0,0,0.3,0.011
S052,2,1,B02,Op_A,good,58.34,0.13,0.0,0.0,0.0,0.0,58.57,57.46,0.128,0.095,Pass,Pass,0,0,-1.11,-0.033
S053,2,1,B02,Op_B,good,59.37,0.097,0.0,0.0,0.0,0.0,59.66,59.81,0.102,0.076,Pass,Pass,0,0,0.15,-0.026
S054,2,1,B02,Op_A,borderline,54.53,0.153,0.0,0.0,0.0,0.0,54.38,54.97,0.156,0.122,Pass,Pass,0,0,0.59,-0.034
S055,2,1,B02,Op_B,failed,49.44,0.174,0.0,0.0,0.0,0.0,49.35,47.96,0.182,0.107,Fail,Fail,0,0,-1.39,-0.075
S056,2,1,B02,Op_C,failed,49.41,0.196,0.0,0.0,0.0,0.0,49.58,48.8,0.218,0.234,Fail,Fail,0,0,-0.78,0.016
S057,2,1,B02,Op_C,good,59.65,0.102,0.0,0.0,0.0,0.0,59.46,59.39,0.114,0.092,Pass,Pass,0,0,-0.07,-0.022
S058,2,1,B02,Op_A,good,59.3,0.077,0.0,0.0,0.0,0.0,59.12,59.18,0.082,0.067,Pass,Pass,0,0,0.06,-0.015
S059,2,1,B02,Op_C,borderline,55.0,0.111,0.0,0.0,0.0,0.0,55.1,54.52,0.139,0.156,Pass,Pass,0,0,-0.58,0.017
S060,2,1,B02,Op_C,good,57.92,0.086,0.0,0.0,0.0,0.0,58.19,57.4,0.103,0.072,Pass,Pass,0,0,-0.79,-0.031
S061,2,2,B02,Op_B,failed,49.97,0.204,0.25,-0.01,0.0,0.0,49.9,51.31,0.203,0.169,Fail,Fail,0,0,1.41,-0.034
S062,2,2,B02,Op_A,failed,50.16,0.155,0.25,-0.01,0.0,0.0,49.75,50.34,0.137,0.138,Fail,Fail,0,0,0.59,0.001
S063,2,2,B02,Op_B,good,60.72,0.05,0.25,-0.01,0.0,0.0,60.46,60.52,0.035,0.01,Pass,Pass,0,0,0.06,-0.025
S064,2,2,B02,Op_B,borderline,53.56,0.16,0.25,-0.01,0.0,0.0,53.63,53.78,0.174,0.16,Fail,Fail,0,0,0.15,-0.014
S065,2,2,B02,Op_B,borderline,54.73,0.185,0.25,-0.01,0.0,0.0,54.8,55.33,0.176,0.164,Pass,Pass,0,0,0.53,-0.012
S066,2,2,B02,Op_B,good,59.88,0.124,0.25,-0.01,0.0,0.0,59.96,60.16,0.109,0.099,Pass,Pass,0,0,0.2,-0.01
S067,2,2,B02,Op_B,failed,52.97,0.135,0.25,-0.01,0.0,0.0,53.15,53.09,0.124,0.107,Fail,Fail,0,0,-0.06,-0.017
S068,2,2,B02,Op_B,borderline,53.49,0.101,0.25,-0.01,0.0,0.0,53.49,53.32,0.091,0.088,Fail,Fail,0,0,-0.17,-0.003
S069,2,2,B02,Op_B,failed,49.51,0.175,0.25,-0.01,0.0,0.0,49.6,49.33,0.188,0.168,Fail,Fail,0,0,-0.27,-0.02
S070,2,2,B02,Op_A,good,58.09,0.11,0.25,-0.01,0.0,0.0,58.07,57.95,0.108,0.084,Pass,Pass,0,0,-0.12,-0.024
S071,2,2,B02,Op_C,failed,48.0,0.161,0.25,-0.01,0.0,0.0,48.4,48.47,0.14,0.14,Fail,Fail,0,0,0.07,0.0
S072,2,2,B02,Op_B,good,62.15,0.1,0.25,-0.01,0.0,0.0,62.65,61.75,0.1,0.088,Pass,Pass,0,0,-0.9,-0.012
S073,2,3,B02,Op_B,good,57.64,0.173,-0.35,0.015,0.0,0.0,57.22,57.55,0.176,0.183,Pass,Pass,0,0,0.33,0.007
S074,2,3,B02,Op_B,failed,49.28,0.187,-0.35,0.015,0.0,0.0,49.19,49.85,0.18,0.203,Fail,Fail,0,0,0.66,0.023
S075,2,3,B02,Op_B,good,61.47,0.094,-0.35,0.015,0.0,0.0,61.48,61.33,0.111,0.089,Pass,Pass,0,0,-0.15,-0.022
S076,2,3,B02,Op_B,good,56.87,0.095,-0.35,0.015,0.0,0.0,56.78,56.28,0.089,0.14,Pass,Pass,0,0,-0.5,0.051
S077,2,3,B02,Op_B,failed,51.63,0.205,-0.35,0.015,0.0,0.0,52.26,50.44,0.222,0.223,Fail,Fail,0,0,-1.82,0.001
S078,2,3,B02,Op_C,failed,48.38,0.185,-0.35,0.015,0.0,0.0,48.46,49.06,0.194,0.185,Fail,Fail,0,0,0.6,-0.009
S079,2,3,B02,Op_C,borderline,55.75,0.115,-0.35,0.015,0.0,0.0,55.47,54.64,0.129,0.14,Pass,Pass,0,0,-0.83,0.011
S080,2,3,B02,Op_B,borderline,52.33,0.159,-0.35,0.015,0.0,0.0,52.54,52.53,0.143,0.172,Fail,Fail,0,0,-0.01,0.029
S081,2,3,B02,Op_C,good,56.87,0.138,-0.35,0.015,0.0,0.0,56.96,56.94,0.139,0.101,Pass,Pass,0,0,-0.02,-0.038
S082,2,3,B02,Op_A,good,58.68,0.114,-0.35,0.015,0.0,0.0,58.79,58.18,0.113,0.139,Pass,Pass,0,0,-0.61,0.026
S083,2,3,B02,Op_B,good,60.96,0.129,-0.35,0.015,0.0,0.0,61.59,60.44,0.108,0.113,Pass,Pass,0,0,-1.15,0.005
S084,2,3,B02,Op_A,borderline,54.47,0.153,-0.35,0.015,0.0,0.0,54.59,52.93,0.17,0.196,Pass,Fail,0,1,-1.66,0.026
S085,2,4,B02,Op_A,borderline,54.16,0.135,0.1,0.02,0.0,0.0,54.05,54.47,0.123,0.148,Pass,Pass,0,0,0.42,0.025
S086,2,4,B02,Op_B,borderline,55.85,0.143,0.1,0.02,0.0,0.0,55.17,56.35,0.134,0.186,Pass,Pass,0,0,1.18,0.052
S087,2,4,B02,Op_C,borderline,56.66,0.14,0.1,0.02,0.0,0.0,56.6,56.05,0.125,0.141,Pass,Pass,0,0,-0.55,0.016
S088,2,4,B02,Op_A,good,60.51,0.057,0.1,0.02,0.0,0.0,60.97,60.51,0.068,0.079,Pass,Pass,0,0,-0.46,0.011
S089,2,4,B02,Op_B,good,58.57,0.145,0.1,0.02,0.0,0.0,58.54,58.69,0.122,0.201,Pass,Pass,0,0,0.15,0.079
S090,2,4,B02,Op_A,good,58.87,0.099,0.1,0.02,0.0,0.0,58.09,59.35,0.108,0.111,Pass,Pass,0,0,1.26,0.003
S091,2,4,B02,Op_A,borderline,53.21,0.143,0.1,0.02,0.0,0.0,53.04,53.31,0.159,0.145,Fail,Fail,0,0,0.27,-0.014
S092,2,4,B02,Op_A,good,59.65,0.125,0.1,0.02,0.0,0.0,60.0,58.69,0.133,0.165,Pass,Pass,0,0,-1.31,0.032
